Name,Latitude,Longitude,Description
YRA-1,37.930000,-122.431667,Red Rock Island
YRA-2,37.826230,-122.422140,W Fl W 5s Alcatraz Light
YRA-3,37.699200,-123.001840,W Fl W 15s Farallon Light
YRA-4,37.853333,-122.441667,Lighted red nun buoy near Pt Knox
YRA-6,37.811667,-122.430000,Lighted yellow column 'M' approx. 0.1 nm north of Ft Mason docks (Phil Perkins)
YRA-7,37.833320,-122.396440,R '2' Fl R 6s San Francisco Bay North Channel Lighted Buoy 2
YRA-8,37.847040,-122.396470,R '4' Fl R 2.5s San Francisco Bay North Channel Lighted Buoy 4
YRA-12,37.843830,-122.453360,G '1' Fl G 4s Raccoon Strait Lighted Buoy 1 (Little Harding)
YRA-13,37.807500,-122.460667,Crissy Field Buoy
YRA-15,37.840000,-122.468333,Lighted yellow column approx. 0.5 nm east of Yellow Bluff (Hank Easom)
YRA-16,37.810000,-122.465000,Lighted yellow column approx. 0.2 nm east of Ft.Point (Tom Blackaller)
YRA-17,37.838240,-122.445990,RGR 'HR' Fl (2+1)R 6s Harding Rock Lighted Buoy HR
YRA-18,37.818380,-122.403450,GRG 'BR' Fl (2+1)G 6s Blossom Rock Lighted Bell Buoy BR (Blossom Rock)
YRA-19,37.879700,-122.414930,R '8' Fl R 2.5s San Francisco Bay North Channel Lighted Buoy 8
YRA-21,37.832020,-122.408650,G '1' Fl G 6s San Francisco Bay North Channel Lighted Buoy 1
YRA-23,37.864180,-122.408880,RW 'A' Mo (A) W San Francisco Bay North Channel Lighted Buoy A
YRA-24,37.860870,-122.396470,R '6' Fl R 4s San Francisco Bay North Channel Lighted Bell Buoy 6
YRA-28,37.890570,-122.417660,R '2' Fl R 2.5s Southampton Shoal Channel Lighted Buoy 2
YRA-29,37.903910,-122.420150,R '4' Fl R 4s Southampton Shoal Channel Lighted Buoy 4
YRA-32,37.746000,-122.323333,Fl Y4s 'A' Approx 2.5 nm East of Army St Terminal
YRA-33,37.800990,-122.347770,R '4' Fl R 4s Oakland Inner Harbor Lighted Buoy 4
YRA-34,37.758250,-122.368350,R '2' Fl R 2.5s Lash Terminal Approach Lighted Buoy 2
YRA-35,37.776790,-122.331080,G '3' Fl G 2.5s Alameda Naval Air Station Channel Light 3
YRA-36,37.773360,-122.330160,R '4' Fl R 4s Alameda Naval Air Station Channel Light 4
YRA-37,37.739520,-122.359900,G '5' Fl G 4s Lash Terminal Approach Lighted Buoy 5
YRA-A,37.810767,-122.446817,Yellow sphere 'A' Outer Buoy St. Francis Yacht Club
YRA-ANITA,37.808333,-122.453333,Offset buoy off Anita Rock
YRA-AS1,37.771667,-122.383333,Yellow sphere approx. 0.3 nm east of BVYC
YRA-B,37.808567,-122.446300,Inner yellow sphere mark 'B' off St. Francis Yacht Club - Billingham
YRA-DB,38.003333,-122.966667,White buoy 'DB' located in Drakes Bay
YRA-CM2,37.928260,-122.468580,R '2' Iso R 6s Corte Madera Channel Light 2
YRA-DOC,37.857680,-122.349400,G '3' Fl G 4s Berkeley Marina Channel Light 3
YRA-FOC,37.865000,-122.376667,Olympic Circle buoy 'F'
YRA-G1,37.769780,-122.632220,G '1' Q G San Francisco Main Ship Channel Lighted Bell Buoy 1
